Time,Prob0,Results0,Prob1,Results1,Prob2,Results2,Label,Incomplete
40.58587884902954,"[0.0017172  0.00256174 0.00256174 0.00256174 0.00115108 0.00382163
 0.0017172  0.00256174 0.0017172  0.00256174 0.00256174 0.0017172
 0.00382163 0.0017172  0.0017172  0.0007716  0.0017172  0.00382163
 0.00256174 0.00256174 0.0017172 ]",17,"[0.0017172  0.00256174 0.00256174 0.00256174 0.00115108 0.00382163
 0.0017172  0.00256174 0.0017172  0.00256174 0.00256174 0.0017172
 0.00382163 0.0017172  0.0017172  0.0007716  0.0017172  0.00382163
 0.00256174 0.00256174 0.0017172 ]",12,"[1.49595653e-04 3.20056581e-03 3.75576600e-04 1.14305922e-04
 8.07113735e-05 1.37230441e-03 2.22204275e-03 3.01005594e-03
 1.97393288e-03 5.00224486e-03 5.09477822e-03 2.04690637e-03
 5.86274427e-03 2.94812896e-03 1.41203702e-03 1.56242572e-03
 2.34244900e-03 5.70846153e-03 9.25333652e-05 8.87231678e-04
 2.16001528e-03]",12,0,10
31.98455810546875,"[0.00225697 0.00281861 0.00281861 0.00314985 0.00201963 0.00314985
 0.00180725 0.00225697 0.00180725 0.00201963 0.00201963 0.00180725
 0.00252221 0.0016172  0.00201963 0.00129495 0.00201963 0.00252221
 0.00314985 0.00252221 0.00201963]",18,"[0.00225697 0.00281861 0.00281861 0.00314985 0.00201963 0.00314985
 0.00180725 0.00225697 0.00180725 0.00201963 0.00201963 0.00180725
 0.00252221 0.0016172  0.00201963 0.00129495 0.00201963 0.00252221
 0.00314985 0.00252221 0.00201963]",18,"[0.00225697 0.00281861 0.00281861 0.00314985 0.00201963 0.00314985
 0.00180725 0.00225697 0.00180725 0.00201963 0.00201963 0.00180725
 0.00252221 0.0016172  0.00201963 0.00129495 0.00201963 0.00252221
 0.00314985 0.00252221 0.00201963]",5,1,10
40.53770065307617,"[0.00216072 0.00216072 0.0026391  0.00238796 0.0019551  0.00291665
 0.00216072 0.0026391  0.00216072 0.00238796 0.0019551  0.00216072
 0.00238796 0.0019551  0.00291665 0.0016007  0.0019551  0.00238796
 0.00238796 0.00238796 0.0019551 ]",5,"[0.00216072 0.00216072 0.0026391  0.00238796 0.0019551  0.00291665
 0.00216072 0.0026391  0.00216072 0.00238796 0.0019551  0.00216072
 0.00238796 0.0019551  0.00291665 0.0016007  0.0019551  0.00238796
 0.00238796 0.00238796 0.0019551 ]",5,"[0.00216072 0.00216072 0.0026391  0.00238796 0.0019551  0.00291665
 0.00216072 0.0026391  0.00216072 0.00238796 0.0019551  0.00216072
 0.00238796 0.0019551  0.00291665 0.0016007  0.0019551  0.00238796
 0.00238796 0.00238796 0.0019551 ]",5,0,10
31.937370538711548,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,16,10
31.92159080505371,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,16,10
31.85685968399048,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,17,10
31.993247270584106,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,17,10
32.02746629714966,"[0.00273069 0.00273069 0.00273069 0.00244353 0.00244353 0.0030516
 0.00218657 0.00218657 0.00175088 0.00195663 0.00195663 0.00218657
 0.00244353 0.00156675 0.00195663 0.00156675 0.00244353 0.00244353
 0.00244353 0.00244353 0.00195663]",5,"[0.00273069 0.00273069 0.00273069 0.00244353 0.00244353 0.0030516
 0.00218657 0.00218657 0.00175088 0.00195663 0.00195663 0.00218657
 0.00244353 0.00156675 0.00195663 0.00156675 0.00244353 0.00244353
 0.00244353 0.00244353 0.00195663]",5,"[0.00273069 0.00273069 0.00273069 0.00244353 0.00244353 0.0030516
 0.00218657 0.00218657 0.00175088 0.00195663 0.00195663 0.00218657
 0.00244353 0.00156675 0.00195663 0.00156675 0.00244353 0.00244353
 0.00244353 0.00244353 0.00195663]",5,17,10
31.880791187286377,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,"[0.00234651 0.00234651 0.00293042 0.00262226 0.00209975 0.0032748
 0.00187894 0.00234651 0.00187894 0.00209975 0.00209975 0.00187894
 0.00262226 0.00168135 0.00209975 0.00134632 0.00209975 0.00262226
 0.00262226 0.00262226 0.00209975]",5,18,10
31.92302656173706,"[0.00231479 0.00231479 0.00289081 0.00258681 0.00207136 0.00323053
 0.00185354 0.00231479 0.00185354 0.00207136 0.00207136 0.00185354
 0.00258681 0.00165862 0.00207136 0.00132812 0.00207136 0.00258681
 0.00323053 0.00258681 0.00207136]",5,"[0.00231479 0.00231479 0.00289081 0.00258681 0.00207136 0.00323053
 0.00185354 0.00231479 0.00185354 0.00207136 0.00207136 0.00185354
 0.00258681 0.00165862 0.00207136 0.00132812 0.00207136 0.00258681
 0.00323053 0.00258681 0.00207136]",5,"[0.00231479 0.00231479 0.00289081 0.00258681 0.00207136 0.00323053
 0.00185354 0.00231479 0.00185354 0.00207136 0.00207136 0.00185354
 0.00258681 0.00165862 0.00207136 0.00132812 0.00207136 0.00258681
 0.00323053 0.00258681 0.00207136]",5,18,10
